Tube;Sample_Id;Timepoint;Nutrition;AZD;GC-MS_ID(10_90)
A1;RB22 T0 1;T0;T0;T0;19163ka33
A2;RB22 T0 2;T0;T0;T0;19169ka43
A3;RB22 T0 3;T0;T0;T0;19163ka32
A4;RB22 T0 4;T0;T0;T0;19165ka50
A5;RB22 T0 5;T0;T0;T0;19165ka15
A6;RB22 T0 6;T0;T0;T0;19169ka18
A7;RB22 T0 7;T0;T0;T0;19169ka05
A8;RB22 T0 8;T0;T0;T0;19165ka13
A9;RB22 T0 9;T0;T0;T0;19165ka36
A10;RB22 T0 10;T0;T0;T0;19165ka70
A11;RB22 T0 11;T0;T0;T0;19163ka31
A12;RB22 T0 12;T0;T0;T0;19165ka35
A13;RB22 T0 13;T0;T0;T0;19163ka19
A14;RB22 T0 14;T0;T0;T0;19163ka39
A15;RB22 T0 15;T0;T0;T0;19165ka76
A16;RB22 T0 16;T0;T0;T0;19163ka11
A17;RB22 T0 17;T0;T0;T0;19165ka67
A18;RB22 T0 18;T0;T0;T0;19165ka81
A19;RB22 T0 19;T0;T0;T0;19163ka24
A20;RB22 T0 20;T0;T0;T0;19163ka44
A21;RB22 T0 21;T0;T0;T0;19165ka33
A22;RB22 T0 22;T0;T0;T0;19165ka32
A23;RB22 T0 23;T0;T0;T0;19165ka28
A24;RB22 T0 24;T0;T0;T0;19165ka68
B1;RB22 3h 1;3h;NPS;DMSO;19169ka30
B2;RB22 3h 2;3h;NPS;DMSO;19169ka26
B3;RB22 3h 3;3h;NPS;DMSO;19165ka51
B4;RB22 3h 4;3h;NPS;AZD;19165ka56
B5;RB22 3h 5;3h;NPS;AZD;19163ka26
B6;RB22 3h 6;3h;NPS;AZD;19165ka69
B7;RB22 3h 7;3h;NP;DMSO;19165ka73
B8;RB22 3h 8;3h;NP;DMSO;19165ka05
B9;RB22 3h 9;3h;NP;DMSO;19165ka09
B10;RB22 3h 10;3h;NP;AZD;19165ka58
B11;RB22 3h 11;3h;NP;AZD;19163ka05
B12;RB22 3h 12;3h;NP;AZD;19165ka11
B13;RB22 3h 13;3h;PKS;DMSO;19169ka31
B14;RB22 3h 14;3h;PKS;DMSO;19163ka27
B15;RB22 3h 15;3h;PKS;DMSO;19165ka59
B16;RB22 3h 16;3h;PKS;AZD;19163ka35
B17;RB22 3h 17;3h;PKS;AZD;19169ka40
B18;RB22 3h 18;3h;PKS;AZD;19169ka17
B19;RB22 3h 19;3h;NS;DMSO;19165ka82
B20;RB22 3h 20;3h;NS;DMSO;19169ka12
B21;RB22 3h 21;3h;NS;DMSO;19165ka22
B22;RB22 3h 22;3h;NS;AZD;19163ka36
B23;RB22 3h 23;3h;NS;AZD;19165ka20
B24;RB22 3h 24;3h;NS;AZD;19165ka46:2
C1;RB22 6h 1;6h;NPS;DMSO;19169ka09
C2;RB22 6h 2;6h;NPS;DMSO;19163ka42
C3;RB22 6h 3;6h;NPS;DMSO;19163ka16
C4;RB22 6h 4;6h;NPS;AZD;19165ka42
C5;RB22 6h 5;6h;NPS;AZD;19165ka07
C6;RB22 6h 6;6h;NPS;AZD;19165ka66
C7;RB22 6h 7;6h;NP;DMSO;19165ka21
C8;RB22 6h 8;6h;NP;DMSO;19165ka61
C9;RB22 6h 9;6h;NP;DMSO;19165ka17
C10;RB22 6h 10;6h;NP;AZD;19165ka87
C11;RB22 6h 11;6h;NP;AZD;19165ka80
C12;RB22 6h 12;6h;NP;AZD;19163ka09
C13;RB22 6h 13;6h;PKS;DMSO;19165ka62
C14;RB22 6h 14;6h;PKS;DMSO;19169ka28
C15;RB22 6h 15;6h;PKS;DMSO;19163ka04
C16;RB22 6h 16;6h;PKS;AZD;19169ka03
C17;RB22 6h 17;6h;PKS;AZD;19165ka86
C18;RB22 6h 18;6h;PKS;AZD;19163ka10
C19;RB22 6h 19;6h;NS;DMSO;19163ka21
C20;RB22 6h 20;6h;NS;DMSO;19165ka48
C21;RB22 6h 21;6h;NS;DMSO;19165ka23
C22;RB22 6h 22;6h;NS;AZD;19163ka22
C23;RB22 6h 23;6h;NS;AZD;19165ka47
C24;RB22 6h 24;6h;NS;AZD;19163ka30
D1;RB22 12h 1;12h;NPS;DMSO;19165ka27
D2;RB22 12h 2;12h;NPS;DMSO;19165ka08
D3;RB22 12h 3;12h;NPS;DMSO;19169ka29
D4;RB22 12h 4;12h;NPS;AZD;19169ka42
D5;RB22 12h 5;12h;NPS;AZD;19165ka55
D6;RB22 12h 6;12h;NPS;AZD;19165ka75
D7;RB22 12h 7;12h;NP;DMSO;19165ka40
D8;RB22 12h 8;12h;NP;DMSO;19165ka14
D9;RB22 12h 9;12h;NP;DMSO;19165ka16
D10;RB22 12h 10;12h;NP;AZD;19169ka19
D11;RB22 12h 11;12h;NP;AZD;19163ka28
D12;RB22 12h 12;12h;NP;AZD;19165ka63
D13;RB22 12h 13;12h;PKS;DMSO;19163ka08
D14;RB22 12h 14;12h;PKS;DMSO;19165ka71
D15;RB22 12h 15;12h;PKS;DMSO;19165ka12
D16;RB22 12h 16;12h;PKS;AZD;19163ka03
D17;RB22 12h 17;12h;PKS;AZD;19163ka14
D18;RB22 12h 18;12h;PKS;AZD;19165ka06
D19;RB22 12h 19;12h;NS;DMSO;19169ka15
D20;RB22 12h 20;12h;NS;DMSO;19165ka44
D21;RB22 12h 21;12h;NS;DMSO;19169ka44
D22;RB22 12h 22;12h;NS;AZD;19169ka21
D23;RB22 12h 23;12h;NS;AZD;19165ka04
D24;RB22 12h 24;12h;NS;AZD;19165ka19
E1;RB22 24h 1;24h;NPS;DMSO;19169ka10
