Sample;Tp;Id;hours;Nutrition;AZD;Replicate
A1;T0;1;0;NPS;DMSO;1
A2;T0;2;0;NPS;DMSO;2
A3;T0;3;0;NPS;DMSO;3
A4;T0;4;0;NPS;AZD;1
A5;T0;5;0;NPS;AZD;2
A6;T0;6;0;NPS;AZD;3
A7;T0;7;0;NP;DMSO;1
A8;T0;8;0;NP;DMSO;2
A9;T0;9;0;NP;DMSO;3
A10;T0;10;0;NP;AZD;1
A11;T0;11;0;NP;AZD;2
A12;T0;12;0;NP;AZD;3
A13;T0;13;0;PKS;DMSO;1
A14;T0;14;0;PKS;DMSO;2
A15;T0;15;0;PKS;DMSO;3
A16;T0;16;0;PKS;AZD;1
A17;T0;17;0;PKS;AZD;2
A18;T0;18;0;PKS;AZD;3
A19;T0;19;0;NS;DMSO;1
A20;T0;20;0;NS;DMSO;2
A21;T0;21;0;NS;DMSO;3
A22;T0;22;0;NS;AZD;1
A23;T0;23;0;NS;AZD;2
A24;T0;24;0;NS;AZD;3
A25;T3;1;3;NPS;DMSO;1
A26;T3;2;3;NPS;DMSO;2
A27;T3;3;3;NPS;DMSO;3
A28;T3;4;3;NPS;AZD;1
A29;T3;5;3;NPS;AZD;2
A30;T3;6;3;NPS;AZD;3
A31;T3;7;3;NP;DMSO;1
A32;T3;8;3;NP;DMSO;2
A33;T3;9;3;NP;DMSO;3
A34;T3;10;3;NP;AZD;1
A35;T3;11;3;NP;AZD;2
A36;T3;12;3;NP;AZD;3
A37;T3;13;3;PKS;DMSO;1
A38;T3;14;3;PKS;DMSO;2
A39;T3;15;3;PKS;DMSO;3
A40;T3;16;3;PKS;AZD;1
A41;T3;17;3;PKS;AZD;2
A42;T3;18;3;PKS;AZD;3
A43;T3;19;3;NS;DMSO;1
A44;T3;20;3;NS;DMSO;2
A45;T3;21;3;NS;DMSO;3
A46;T3;22;3;NS;AZD;1
A47;T3;23;3;NS;AZD;2
A48;T3;24;3;NS;AZD;3
A49;T6;1;6;NPS;DMSO;1
A50;T6;2;6;NPS;DMSO;2
A51;T6;3;6;NPS;DMSO;3
A52;T6;4;6;NPS;AZD;1
A53;T6;5;6;NPS;AZD;2
A54;T6;6;6;NPS;AZD;3
A55;T6;7;6;NP;DMSO;1
A56;T6;8;6;NP;DMSO;2
A57;T6;9;6;NP;DMSO;3
A58;T6;10;6;NP;AZD;1
A59;T6;11;6;NP;AZD;2
A60;T6;12;6;NP;AZD;3
